DANE,MUNICIPIO,VIGENCIA,INDICADOR,CALIFICACIÓN
41615,RIVERA,2018,"93,72 %",Incumplimiento bajo
41676,SANTA MARÍA,2018,"91,24 %",Incumplimiento bajo
41791,TARQUI,2018,"81,48 %",Incumplimiento bajo
41801,TERUEL,2018,"85,48 %",Incumplimiento bajo
41807,TIMANA,2018,"92,79 %",Incumplimiento bajo
41872,VILLA VIEJA,2018,"87,86 %",Incumplimiento bajo
41885,YAGUARÁ,2018,"92,83 %",Incumplimiento bajo
41006,ACEVEDO,2017,"85,06 %",Incumplimiento bajo
41013,AGRADO,2017,"90,24 %",Incumplimiento bajo
41016,AIPE,2017,"86,59 %",Incumplimiento bajo
41020,ALGECIRAS,2017,"90,60 %",Incumplimiento bajo
41078,BARAYA,2017,"80,81 %",Incumplimiento bajo
41132,CAMPOALEGRE,2017,"93,30 %",Incumplimiento bajo
41298,GARZÓN,2017,"94,45 %",Incumplimiento bajo
41306,GIGANTE,2017,"80,51 %",Incumplimiento bajo
41319,GUADALUPE,2017,"85,57 %",Incumplimiento bajo
41349,HOBO,2017,"82,78 %",Incumplimiento bajo
41359,ISNOS,2017,"89,98 %",Incumplimiento bajo
41378,LA ARGENTINA,2017,"86,42 %",Incumplimiento bajo
41396,LA PLATA,2017,"92,94 %",Incumplimiento bajo
41503,OPORAPA,2017,"84,80 %",Incumplimiento bajo
41518,PAICOL,2017,"81,23 %",Incumplimiento bajo
41524,PALERMO,2017,"89,43 %",Incumplimiento bajo
41548,PITAL,2017,"86,51 %",Incumplimiento bajo
41660,SALADOBLANCO,2017,"89,30 %",Incumplimiento bajo
41668,SAN AGUSTÍN,2017,"93,23 %",Incumplimiento bajo
41770,SUAZA,2017,"83,79 %",Incumplimiento bajo
41791,TARQUI,2017,"87,98 %",Incumplimiento bajo
41799,TELLO,2017,"89,94 %",Incumplimiento bajo
41801,TERUEL,2017,"85,57 %",Incumplimiento bajo
41807,TIMANA,2017,"89,04 %",Incumplimiento bajo
41006,ACEVEDO,2016,"83,66 %",Incumplimiento bajo
41013,AGRADO,2016,"86,66 %",Incumplimiento bajo
41016,AIPE,2016,"86,23 %",Incumplimiento bajo
41020,ALGECIRAS,2016,"91,62 %",Incumplimiento bajo
41026,ALTAMIRA,2016,"87,28 %",Incumplimiento bajo
41206,COLOMBIA,2016,"88,23 %",Incumplimiento bajo
41306,GIGANTE,2016,"84,50 %",Incumplimiento bajo
41319,GUADALUPE,2016,"92,39 %",Incumplimiento bajo
41349,HOBO,2016,"92,17 %",Incumplimiento bajo
41357,ÍQUIRA,2016,"86,34 %",Incumplimiento bajo
41359,ISNOS,2016,"90,30 %",Incumplimiento bajo
41483,NÁTAGA,2016,"80,11 %",Incumplimiento bajo
41524,PALERMO,2016,"86,92 %",Incumplimiento bajo
41530,PALESTINA,2016,"88,72 %",Incumplimiento bajo
41551,PITALITO,2016,"94,36 %",Incumplimiento bajo
41660,SALADOBLANCO,2016,"92,93 %",Incumplimiento bajo
41676,SANTA MARÍA,2016,"81,60 %",Incumplimiento bajo
41770,SUAZA,2016,"90,21 %",Incumplimiento bajo
41791,TARQUI,2016,"92,30 %",Incumplimiento bajo
41797,TESALIA,2016,"91,90 %",Incumplimiento bajo
41799,TELLO,2016,"87,94 %",Incumplimiento bajo
41801,TERUEL,2016,"94,52 %",Incumplimiento bajo
41807,TIMANA,2016,"91,12 %",Incumplimiento bajo
41872,VILLA VIEJA,2016,"85,37 %",Incumplimiento bajo
41885,YAGUARÁ,2016,"87,75 %",Incumplimiento bajo
41001,NEIVA,2020,"98,02 %",Cumplimiento óptimo
41016,AIPE,2020,"26,74 %",Incumplimiento alto
41206,COLOMBIA,2020,"79,73 %",Incumplimiento medio
41357,ÍQUIRA,2020,"77,98 %",Incumplimiento medio
41483,NÁTAGA,2020,"95,00 %",Cumplimiento óptimo
41548,PITAL,2020,"96,38 %",Cumplimiento óptimo
41551,PITALITO,2020,"95,64 %",Cumplimiento óptimo
41668,SAN AGUSTÍN,2020,"96,79 %",Cumplimiento óptimo
41801,TERUEL,2020,"95,08 %",Cumplimiento óptimo
41807,TIMANA,2020,"96,14 %",Cumplimiento óptimo
41016,AIPE,2019,"96,27 %",Cumplimiento óptimo
41020,ALGECIRAS,2019,"95,56 %",Cumplimiento óptimo
41026,ALTAMIRA,2019,"98,25 %",Cumplimiento óptimo
41078,BARAYA,2019,"97,43 %",Cumplimiento óptimo
41132,CAMPOALEGRE,2019,"98,44 %",Cumplimiento óptimo
41206,COLOMBIA,2019,"0,00 %",Igual a 0
41298,GARZÓN,2019,"96,95 %",Cumplimiento óptimo
41378,LA ARGENTINA,2019,"98,28 %",Cumplimiento óptimo
41396,LA PLATA,2019,"75,57 %",Incumplimiento medio
41503,OPORAPA,2019,"96,53 %",Cumplimiento óptimo
41518,PAICOL,2019,"0,00 %",Igual a 0
41524,PALERMO,2019,"97,06 %",Cumplimiento óptimo
41551,PITALITO,2019,"95,07 %",Cumplimiento óptimo
41660,SALADOBLANCO,2019,"97,48 %",Cumplimiento óptimo
41668,SAN AGUSTÍN,2019,"98,73 %",Cumplimiento óptimo
41676,SANTA MARÍA,2019,"98,37 %",Cumplimiento óptimo
41770,SUAZA,2019,"98,54 %",Cumplimiento óptimo
41791,TARQUI,2019,"97,98 %",Cumplimiento óptimo
41797,TESALIA,2019,"96,28 %",Cumplimiento óptimo
41799,TELLO,2019,"97,65 %",Cumplimiento óptimo
41801,TERUEL,2019,"97,17 %",Cumplimiento óptimo
41807,TIMANA,2019,"95,25 %",Cumplimiento óptimo
41885,YAGUARÁ,2019,"97,20 %",Cumplimiento óptimo
41001,NEIVA,2018,"96,99 %",Cumplimiento óptimo
41006,ACEVEDO,2018,"59,25 %",Incumplimiento medio
41132,CAMPOALEGRE,2018,"97,39 %",Cumplimiento óptimo
41244,ELÍAS,2018,"60,26 %",Incumplimiento medio
41298,GARZÓN,2018,"98,18 %",Cumplimiento óptimo
41378,LA ARGENTINA,2018,"96,46 %",Cumplimiento óptimo
41483,NÁTAGA,2018,"98,69 %",Cumplimiento óptimo
41548,PITAL,2018,"95,42 %",Cumplimiento óptimo
41551,PITALITO,2018,"96,22 %",Cumplimiento óptimo
41660,SALADOBLANCO,2018,"99,09 %",Cumplimiento óptimo
41668,SAN AGUSTÍN,2018,"96,86 %",Cumplimiento óptimo
41770,SUAZA,2018,"95,25 %",Cumplimiento óptimo
41797,TESALIA,2018,"98,47 %",Cumplimiento óptimo
41799,TELLO,2018,"97,29 %",Cumplimiento óptimo
41001,NEIVA,2017,"97,06 %",Cumplimiento óptimo
41026,ALTAMIRA,2017,"75,44 %",Incumplimiento medio
41206,COLOMBIA,2017,"75,18 %",Incumplimiento medio
41244,ELÍAS,2017,"57,73 %",Incumplimiento medio
41357,ÍQUIRA,2017,"77,84 %",Incumplimiento medio
41483,NÁTAGA,2017,"70,23 %",Incumplimiento medio
41530,PALESTINA,2017,"77,04 %",Incumplimiento medio
41551,PITALITO,2017,"96,44 %",Cumplimiento óptimo
41615,RIVERA,2017,"79,25 %",Incumplimiento medio
41676,SANTA MARÍA,2017,"79,65 %",Incumplimiento medio
41797,TESALIA,2017,"96,43 %",Cumplimiento óptimo
41872,VILLA VIEJA,2017,"58,63 %",Incumplimiento medio
41885,YAGUARÁ,2017,"96,30 %",Cumplimiento óptimo
41001,NEIVA,2016,"97,50 %",Cumplimiento óptimo
41078,BARAYA,2016,"69,20 %",Incumplimiento medio
41132,CAMPOALEGRE,2016,"96,33 %",Cumplimiento óptimo
41244,ELÍAS,2016,"50,75 %",Incumplimiento medio
41298,GARZÓN,2016,"98,17 %",Cumplimiento óptimo
41378,LA ARGENTINA,2016,"95,48 %",Cumplimiento óptimo
41396,LA PLATA,2016,"95,87 %",Cumplimiento óptimo
41503,OPORAPA,2016,"0,00 %",Igual a 0
41518,PAICOL,2016,"96,66 %",Cumplimiento óptimo
41548,PITAL,2016,"79,04 %",Incumplimiento medio
41615,RIVERA,2016,"70,18 %",Incumplimiento medio
41668,SAN AGUSTÍN,2016,"97,20 %",Cumplimiento óptimo
